seas_id,season,player_id,player,birth_year,pos,age,experience,lg,tm,g,mp,per,ts_percent,x3p_ar,f_tr,orb_percent,drb_percent,trb_percent,ast_percent,stl_percent,blk_percent,tov_percent,usg_percent,ows,dws,ws,ws_48,obpm,dbpm,bpm,vorp
31220,2024,5123,Chet Holmgren,NA,C,21,1,NBA,OKC,54,1624,20.6,0.635,0.361,0.271,6.1,21.5,14.1,12.5,1.1,8.2,11,21.4,3,2.9,5.9,0.175,2,2,4,2.4
31221,2024,4597,Chimezie Metu,NA,C,26,6,NBA,PHO,37,447,13.8,0.621,0.392,0.331,6.6,20.7,14.1,5.8,2.1,1.8,15.3,17,0.3,0.6,1,0.104,-1.6,0.3,-1.4,0.1
31222,2024,4481,Chris Boucher,NA,PF,31,7,NBA,TOR,46,641,15.7,0.607,0.438,0.409,9.4,23.1,16.1,4.1,1.1,2.9,8.4,17.4,1,0.6,1.6,0.12,-0.6,-1.4,-1.9,0
31223,2024,4919,Chris Duarte,NA,SF,26,3,NBA,SAC,37,472,6.5,0.488,0.55,0.202,3.5,12.5,7.9,8.4,1.8,0.4,12.5,14.5,-0.2,0.4,0.2,0.018,-5.3,0.1,-5.2,-0.4
31224,2024,5124,Chris Livingston,NA,SF,20,1,NBA,MIL,15,62,8.6,0.571,0.071,0.143,3.6,20.6,12.4,8.1,1.5,0,16.8,12.3,0,0.1,0.1,0.053,-4.9,-0.8,-5.7,-0.1
31225,2024,3585,Chris Paul,NA,PG,38,19,NBA,GSW,32,882,14.2,0.543,0.486,0.171,1.2,13.5,7.4,33.4,2,0.3,12.6,14.3,1.7,0.8,2.5,0.135,0.1,1,1.2,0.7
31226,2024,5036,Christian Braun,NA,SG,22,2,NBA,DEN,55,1046,11.2,0.535,0.317,0.308,4.9,15.4,10.2,9.4,1,1.7,9.1,16.3,0.6,1.1,1.7,0.076,-2.4,-0.6,-3,-0.3
31227,2024,4313,Christian Wood,NA,PF,28,8,NBA,LAL,50,872,12.2,0.568,0.432,0.356,5.2,26.2,16.2,7.5,0.9,3.3,14.1,17.6,0,1.2,1.1,0.063,-2.8,-0.1,-2.9,-0.2
31228,2024,4817,Chuma Okeke,NA,SF,25,4,NBA,ORL,33,381,8,0.499,0.727,0.051,5.4,16.6,10.9,6,0.9,1.7,10.6,12.8,-0.1,0.5,0.4,0.049,-2.3,-0.2,-2.6,-0.1
31229,2024,4230,Clint Capela,NA,C,29,10,NBA,ATL,47,1209,20.8,0.595,0,0.332,19.3,25.2,22.1,5.3,1.1,5.2,8.1,16.7,3,1.1,4.1,0.162,1.2,-1.3,-0.1,0.6
31230,2024,4703,Coby White,NA,PG,23,5,NBA,CHI,55,1996,15.4,0.591,0.475,0.219,1.6,13.3,7.3,21.9,0.9,0.7,11.8,22.8,2.6,1.5,4,0.096,1.3,-1,0.3,1.1
31231,2024,4704,Cody Martin,NA,SF,28,5,NBA,CHO,22,579,8.8,0.466,0.385,0.166,3,13.6,8,17.7,1.9,1.9,16.2,16.2,-0.6,0.3,-0.2,-0.02,-4.3,0.1,-4.2,-0.3
31232,2024,4155,Cody Zeller,NA,C,31,11,NBA,NOP,36,289,11.5,0.468,0.057,0.66,14.7,21.9,18.3,14.4,1.3,1.4,16,12.1,0.3,0.4,0.6,0.108,-3.2,0.4,-2.9,-0.1
31233,2024,5125,Colby Jones,NA,SG,21,1,NBA,SAC,17,121,6.3,0.384,0.283,0.109,9.1,14.3,11.7,10.8,1.6,0.7,9.4,18.7,-0.2,0.1,-0.1,-0.038,-6.5,-1.2,-7.7,-0.2
31234,2024,4819,Cole Anthony,NA,PG,23,4,NBA,ORL,54,1241,14.3,0.549,0.345,0.343,4.4,16,10.2,19.9,1.7,1.7,14,23.6,0.5,1.8,2.3,0.088,-1,0.5,-0.5,0.5
31235,2024,5038,Cole Swider,NA,SF,24,2,NBA,MIA,10,50,7,0.523,0.739,0.087,2.2,4.6,3.4,12.4,1,2,20.1,26.4,-0.1,0,-0.1,-0.084,-2.8,-2.3,-5.1,0
31236,2024,5126,Colin Castleton,NA,C,23,1,NBA,LAL,7,36,18.5,0.765,0,0.4,12.9,14.8,13.9,11.9,0,0,7.8,15.3,0.2,0,0.2,0.233,-0.2,-1.7,-2,0
31237,2024,5127,Collin Gillespie,NA,PG,24,1,NBA,DEN,18,137,7.7,0.563,0.556,0.194,0.8,7.2,4.1,11.1,3.3,0,20.4,15.6,-0.1,0.2,0.1,0.027,-6.2,1.5,-4.7,-0.1
31238,2024,4599,Collin Sexton,NA,SG,25,6,NBA,UTA,56,1378,20.3,0.613,0.326,0.379,3.9,7.5,5.7,29.1,1.3,0.8,11.7,27.8,3.7,0.4,4.1,0.144,3.9,-1.7,2.3,1.5
31239,2024,4920,Corey Kispert,NA,SF,24,3,NBA,WAS,53,1191,12.7,0.616,0.622,0.191,1.5,10.4,5.9,10.2,0.8,0.5,9.6,20.1,0.9,0.2,1.1,0.044,-0.2,-2.2,-2.4,-0.1
31240,2024,3992,Cory Joseph,NA,PG,32,13,NBA,GSW,26,296,6.1,0.47,0.656,0.109,2.2,8.7,5.5,17.3,0.7,0.9,15.2,11.2,0,0.1,0.2,0.028,-4,-0.7,-4.7,-0.2
31241,2024,5128,Craig Porter Jr.,NA,PG,23,1,NBA,CLE,32,469,15.9,0.559,0.127,0.279,3.6,14.8,9.3,27.4,1.8,2.3,15.1,20.2,0.4,0.8,1.2,0.125,-0.7,1.8,1.1,0.4
31242,2024,4317,D'Angelo Russell,NA,PG,27,9,NBA,LAL,51,1592,16.3,0.588,0.465,0.18,1.5,8.2,5,29.4,1.2,1.4,11.6,23.2,2.1,1.2,3.3,0.099,1.8,-0.9,0.9,1.2
31243,2024,5129,D'Moi Hodge,NA,SG,25,1,NBA,LAL,7,41,6,0.441,0.8,0.133,0,0,0,15.8,1.2,2.1,5.9,17.7,0,0,0,-0.02,-4,-2.5,-6.5,0
31244,2024,4706,DaQuan Jeffries,NA,SG,26,4,NBA,NYK,10,30,5,0.427,0.417,0.167,0,18.6,9.3,9.5,0,0,7.2,19.7,-0.1,0,0,-0.045,-5.1,-1.6,-6.6,0
